"","parutionJO","titre","annee","intitule","statutEnquete","numeroVISA","nouvelleEdition","initiative","contenuQuestionnaire","uniteStatistique","typeEnquete","champGeographique","extensionsGeographiques","periodicite","tailleEchantillon","serviceProducteurPrincipal","servicesProducteurs","dateCommissionAC","dateDebutAC","dateFinAC","commissionLabel","documentLabel","dateCommissionAO","dateDebutAO","dateFinAO","commissionCNIS"
"84","2023-12-30","Baromètre de Santé publique France (Enquête) (2024X045SA)",2024,"Enquête ""Baromètre de Santé publique France""","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2024X045SA","Nouvelle","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Individu ou ménage ",NA,"France (métropole et DROMs, hors Mayotte)","Le Baromètre de Santé publique France, utilisé par les acteurs régionaux (cellules régionales de Santé publique France, Agences Régionales de Santé et Observatoires régionaux de santé notamment) poursuit l’objectif de produire des estimations au niveau régional. Le recours à la base Fideli permet ainsi d’investiguer des territoires pour lesquels il est difficile d’avoir une précision suffisante au niveau régional avec la méthode de génération aléatoire utilisée jusqu’alors (La Corse par exemple). Des estimations sont également produites sur chacun des DROMs hors Mayotte (à partir de 2024). Le cas de Mayotte pourrait faire l’objet d’une enquête spécifique comme ce fut le cas avec l’enquête Unono Wa Maore menée en 2018/2019. Cette éventuelle enquête devra à l’avenir être réfléchie et élaborée avec l’ensemble de nos partenaires institutionnels.","Ponctuelle ou pluri-annuelle","Pour le pilote méthodologique de 2023 : effectif prévu de 5 000 répondants dans trois bras (génération aléatoire / fidéli téléphone / fidéli multimode).  A partir de 2024, effectif de 20 000 répondants environ.","Santé publique France","Santé publique France","2023-11-08","2024-01-01","2024-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2024/01/ac-2023-spf-barometre-ponctuelle.pdf","2022-06-09","2023-01-01","2027-12-31","demographie-et-questions-sociales"
"85","2014-10-30","Cadre de vie et sécurité - CVS (Enquête) (2015A016EC)",2015,"Enquête ""Cadre de vie et sécurité"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015A016EC","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen",NA,"Répétitive","France métropolitaine ; extensions dans trois DOM en 2015.",NA,"Annuelle","24000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2013-06-26","2014-01-01","2015-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_insee_cadre_vie_securite_cvs.pdf","2013-11-26","2013-11-26","2015-12-31","services-publics-et-services-aux-publics"
"86","2015-12-14","Cadre de vie et sécurité - CVS (Enquête) (2016A023EC)",2016,"Enquête ""Cadre de vie et sécurité"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016A023EC","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen",NA,"Répétitive","France métropolitaine ; extensions dans trois DOM en 2015.",NA,"Annuelle","24000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2015-09-23","2015-01-01","2016-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_insee_cadre_vie_securite_cvs.pdf","2015-06-03","2015-06-03","2016-12-31","services-publics-et-services-aux-publics"
"87",NA,"Cadre de vie et sécurité - CVS (Enquête) (2017A025EC)",2017,"Enquête ""Cadre de vie et sécurité"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2017A025EC","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Individu ou ménage ","Répétitive","France métropolitaine ; extensions dans trois DOM en 2015.",NA,"Annuelle","24000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2016-09-23","2017-01-01","2017-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2016/09/AC_2016_insee_cadre_vie_sécurité_rectificatif.pdf","2016-10-04","2017-01-01","2017-12-31","services-publics-et-services-aux-publics"
"88","2012-10-12","Cadre de vie et sécurité - CVS (Enquête) (2013A006EC)",2013,"Enquête ""Cadre de vie et sécurité"" de 2013","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A006EC","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen",NA,"Répétitive","France métropolitaine",NA,"Annuelle","24000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2012-07-04","2013-01-01","2013-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2013_insee_cadre_vie_securite_2013.pdf",NA,NA,NA,"demographie-et-questions-sociales"
"89","2013-01-24","Cadre de vie et sécurité - CVS (Enquête) (2014A007EC)",2014,"Enquête ""Cadre de vie et sécurité"".","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2014A007EC","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen",NA,"Répétitive","France métropolitaine ; extensions dans trois DOM en 2015.",NA,"Annuelle","24000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2013-06-26","2014-01-01","2015-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_insee_cadre_vie_securite_cvs.pdf","2013-11-26","2014-01-01","2015-12-31","services-publics-et-services-aux-publics"
"90","2017-07-06","Chaînes d'Activité Mondiales - PME (Enquête) (2017X078EC)",2017,"Enquête ""Chaînes d'Activité Mondiales"" - PME","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2017X078EC","Rééditée avec une périodicité supérieure à 1 an","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Servant à répondre à un règlement européen","Entreprise","Répétitive","L'enquête couvre la France entière, mais il n'est pas prévu de décliner les données recueillies à un niveau infranational.",NA,"Ponctuelle ou pluri-annuelle","10000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2017-04-20","2017-01-01","2017-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/04/AC_2017_dse_Chaînes_activité_mondiales.pdf","2016-03-30","2017-01-01","2017-12-31","entreprises-et-strategies-de-marche"
"91","2014-10-30","Combustibles minéraux solides (CMS) (Enquête) (2015M005EN)",2015,"Enquête ""Combustibles minéraux solides"" (CMS)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015M005EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","L'enquête couvre la France métropolitaine.",NA,"Mensuelle","47","Service de l'observation et des statistiques (SOeS)","Service de l'observation et des statistiques (SOeS)","2014-05-14","2015-01-01","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_soes_combustibles_mineraux_solides.pdf","2013-11-20","2013-11-20","2018-12-31","entreprises-et-strategies-de-marche"
"92",NA,"Combustibles minéraux solides (CMS) (Enquête) (2016M051EN)",2016,"Enquête ""Combustibles minéraux solides"" (CMS)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016M051EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","L'enquête couvre la France métropolitaine.",NA,"Mensuelle","47","Service de l'observation et des statistiques (SOeS)","Service de l'observation et des statistiques (SOeS)","2014-05-14","2015-01-01","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_soes_combustibles_mineraux_solides-1.pdf","2013-11-20","2013-11-20","2018-12-31","entreprises-et-strategies-de-marche"
"93","2016-10-06","Combustibles minéraux solides (CMS) (Enquête) (2017M043EN)",2017,"Enquête ""Combustibles minéraux solides"" (CMS)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2017M043EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","L'enquête couvre la France métropolitaine.",NA,"Mensuelle","47",NA,"SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","2014-05-14","2015-01-01","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2015_soes_combustibles_mineraux_solides-1-1-1.pdf","2013-11-20","2013-11-20","2018-12-31","entreprises-et-strategies-de-marche"
"94","2016-10-06","Combustibles minéraux solides (CMS) (Enquête) (2018M025EN)",2018,"Enquête ""Combustibles minéraux solides"" (CMS)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2018M025EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","L'enquête couvre la France métropolitaine.",NA,"Mensuelle","46",NA,"SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","2014-05-14","2015-01-01","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2015_soes_combustibles_mineraux_solides-1-1-1.pdf","2013-11-20","2013-11-20","2018-12-31","entreprises-et-strategies-de-marche"
"95","2018-10-15","Combustibles minéraux solides (CMS) (Enquête) (2019M060EN)",2019,"Enquête ""Combustibles minéraux solides"" (CMS)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2019M060EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","L'enquête couvre la France métropolitaine.",NA,"Mensuelle","47",NA,"SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","2014-05-14","2015-01-01","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2015_soes_combustibles_mineraux_solides-1-1-1.pdf","2013-11-20","2014-01-01","2019-12-31","entreprises-et-strategies-de-marche"
"96","2014-10-30","Consommations de combustibles et d'énergie non électrique (Enquête) (2015A006EN)",2015,"Enquête ""Consommations de combustibles et d'énergie non électrique"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015A006EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Établissement ","Répétitive","L'enquête couvre la France métropolitaine.",NA,"Annuelle","47","Service de l'observation et des statistiques (SOeS)","Service de l'observation et des statistiques (SOeS)","2014-05-14","2014-05-14","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_soes_consommations_combustibles.pdf","2013-11-20","2014-01-01","2018-12-31","entreprises-et-strategies-de-marche"
"97",NA,"Consommations de combustibles et d'énergie non électrique (Enquête) (2016A052EN)",2016,"Enquête ""Consommations de combustibles et d'énergie non électrique"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016A052EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","L'enquête couvre la France métropolitaine.",NA,"Annuelle","47","Service de l'observation et des statistiques (SOeS)","Service de l'observation et des statistiques (SOeS)","2014-05-14","2014-05-14","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_soes_consommations_combustibles-1.pdf","2013-11-20","2013-11-20","2018-12-31","entreprises-et-strategies-de-marche"
"98","2016-10-06","Consommations de combustibles et d'énergie non électrique (Enquête) (2017A044EN)",2017,"Enquête ""Consommations de combustibles et d'énergie non électrique"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2017A044EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Individu ou ménage ","Répétitive","L'enquête couvre la France métropolitaine.",NA,"Annuelle","47",NA,"SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","2014-05-14","2015-01-01","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2015_soes_conso_combustibles-1.pdf","2013-11-20","2014-01-01","2018-12-31","entreprises-et-strategies-de-marche"
"99",NA,"Consommations de combustibles et d'énergie non électrique (Enquête) (2018A026EN)",2018,"Enquête ""Consommations de combustibles et d'énergie non électrique"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2018A026EN","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Établissement ","Répétitive","L'enquête couvre la France métropolitaine.",NA,"Annuelle","47",NA,"SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","2014-05-14","2015-01-01","2019-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2015_soes_conso_combustibles-1.pdf","2013-11-20","2014-01-01","2018-12-31","entreprises-et-strategies-de-marche"
"100","2015-09-21","Insertion des jeunes sur le marché du travail - EEC2016 (Enquête) (2016X004EC)",2016,"Enquête ""Insertion des jeunes sur le marché du travail""-Module complémentaire de l'enquête Emploi 2016","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016X004EC","Rééditée avec une périodicité supérieure à 1 an","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Servant à répondre à un règlement européen","Individu ou ménage ","Répétitive","France métropolitaine et Dom (hors Mayotte)",NA,"Ponctuelle ou pluri-annuelle","19200","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2015-04-10","2016-01-01","2016-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2016_insee_insertion_jeunes_eec.pdf","2014-11-14","2015-01-01","2019-12-31","emploi-qualification-et-revenus-du-travail"
"101","2015-06-16","Migrations, famille et vieillissement Les mutations sociodémographiques à Mayotte (Enquête) (2015X084AU)",2015,"Enquête ""Migrations, Famille et Vieillissement"" - Les mutations sociodémographiques à Mayotte","Enquête d'intérêt général et de qualité statistique","2015X084AU","Nouvelle","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Individu ou ménage ","Répétitive","Mayotte",NA,"Ponctuelle ou pluri-annuelle","4700","Institut national d'études démographiques (Ined)","Institut national d'études démographiques (Ined)","2015-01-28","2015-01-28","2016-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_ined_migations_famille_viellissement_mfv_mayotte.pdf","2014-12-11","2014-12-11","2016-12-31","territoires"
"102",NA,"Pratiques culturales en arboriculture en 2015  (PK Fruits 2015) (Enquête) (2016X019AG)",2016,"Enquête ""Pratiques culturales en arboriculture en 2015""  (PK Fruits 2015)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016X019AG","Nouvelle","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Entreprise","Répétitive","L'enquête est prévue dans les principaux bassins de production fruitière en France y compris DOM concernés (Martinique et Guadeloupe pour la banane).",NA,"Ponctuelle ou pluri-annuelle","5000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2015-06-29","2016-01-01","2016-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_ssp_pk_fruits.pdf","2014-05-21","2014-05-21","2018-12-31","entreprises-et-strategies-de-marche"
"103",NA,"Pratiques d'élevage (Enquête) (2016X042AG)",2016,"Enquête ""Pratiques d'élevage"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016X042AG","Nouvelle","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Entreprise","Répétitive","L'enquête est prévue dans les principaux bassins d'élevage français. Les DOM ne sont pas retenus dans le champ de l'enquête car les enjeux et les pratiques ne sont pas les mêmes qu'en métropole.",NA,"Ponctuelle ou pluri-annuelle","23000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2015-10-12","2016-01-01","2016-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_SSP_Pratiques_Elevage.pdf","2014-11-19","2014-11-19","2020-12-31","entreprises-et-strategies-de-marche"
"104","2016-10-06","Relations Professionnelles et Négociations d'Entreprises - REPONSE 2016-2017 (Enquête) (2017X011TV)",2017,"Enquête ""Relations Professionnelles et Négociations d'Entreprises"" - REPONSE 2016-2017","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2017X011TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Individu ou ménage ","Répétitive","France métropolitaine.",NA,"Ponctuelle ou pluri-annuelle","4000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2016-07-06","2017-01-01","2017-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2016_Dares_REPONSE-1.pdf","2015-09-15","2016-01-01","2017-12-31","emploi-qualification-et-revenus-du-travail"
"105","2023-12-30","""Vécu et ressenti en matière de sécurité"" (VRS) (Enquête) (2024A055IT)",2024,"Enquête ""Vécu et ressenti en matière de sécurité"" (VRS)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2024A055IT","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Sans lien avec un règlement européen","Individu ou ménage ",NA,"France métropolitaine, Martinique, Guadeloupe et La Réunion. La Guyane pourrait être incluse dans le dispositif au cours de la période 2023-2025 (faisabilité dès 2023 en cours d’instruction avec l’Insee). Mayotte à horizon plus lointain.","Aucune","Annuelle","200000","SSM Sécurité intérieure - Service statistique ministériel de la sécurité intérieure (SSMSI)","SSM Sécurité intérieure - Service statistique ministériel de la sécurité intérieure (SSMSI)","2023-12-14","2024-01-01","2025-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2024/01/ac-2023-ssmsi-vrs-annuelle.pdf","2022-03-10","2023-01-01","2025-12-31","services-publics-et-services-aux-publics"
"106","2011-12-27","Inventaire national des vergers - phytofruits (Enquête) (2013A065AG)",2013,"Enquête ""inventaire national des vergers - phytofruits""","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A065AG","Nouvelle","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Servant à répondre à un règlement européen","Entreprise","Répétitive","L'inventaire national dess vergers couvre la France métropolitaine. Le volet phytosanitaire couvre en plus les Antilles pour la banane.",NA,"Annuelle","23000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2011-11-04","2011-11-04","2013-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2013_SSP_inventaire_vergers_phyto-fruit.pdf",NA,NA,NA,"entreprises-et-strategies-de-marche"
"107","2012-10-12","Terres labourables (Enquête) (2013A070AG)",2013,"Enquête ""terres labourables""","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A070AG","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Partiellement défini par un règlement européen",NA,"Répétitive","L'enquête couvre en France métropolitaine les 66 principaux départements producteurs.",NA,"Annuelle","13000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2011-05-18","2011-05-18","2015-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2011_ssp_terres_labourables.pdf",NA,NA,NA,"entreprises-et-strategies-de-marche"
"108","2013-10-16","Terres labourables (Enquête) (2014A060AG)",2014,"Enquête ""terres labourables""","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2014A060AG","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Partiellement défini par un règlement européen",NA,"Répétitive","L'enquête couvre en France métropolitaine les 66 principaux départements producteurs.",NA,"Annuelle","13000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2011-05-18","2011-05-18","2015-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2011_ssp_terres_labourables.pdf","2010-10-11","2010-10-11","2015-12-31","entreprises-et-strategies-de-marche"
"109","2014-10-30","Terres labourables (Enquête) (2015A079AG)",2015,"Enquête ""terres labourables""","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015A079AG","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Partiellement défini par un règlement européen",NA,"Répétitive","L'enquête couvre en France métropolitaine les 66 principaux départements producteurs. À compter de cette année, le champ géographique de			l'enquête a été étendu à quatre nouveaux départements soit le Jura, la Creuse, la Haute-Vienne et les Bouches-du-Rhône.",NA,"Annuelle","14620","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2011-05-18","2011-05-18","2015-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2011_ssp_terres_labourables-2.pdf","2010-10-11","2010-10-11","2015-12-31","entreprises-et-strategies-de-marche"
"110","2015-09-21","Terres labourables (Enquête) (2016A074AG)",2016,"Enquête ""terres labourables"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016A074AG","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Partiellement défini par un règlement européen",NA,"Répétitive","Le champ géographique est limité aux départements de grandes cultures, c'est-à-dire ceux qui couvrent la plus grande part de la production française métropolitaine (66 départements dans la version actuelle). L'étude qui va être menée pour l'amélioration de l'échantillon de l'enquête est susceptible de revoir la liste des départements enquêtés pour chaque culture.",NA,"Annuelle","13000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2015-07-29","2015-01-01","2019-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_ssp_terres-labourables.pdf","2014-11-19","2015-01-01","2020-12-31","entreprises-et-strategies-de-marche"
"111","2016-10-06","Terres labourables (Enquête) (2017A072AG)",2017,"Enquête ""terres labourables"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2017A072AG","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Partiellement défini par un règlement européen",NA,"Répétitive","Le champ géographique est limité aux départements de grandes cultures, c'est-à-dire ceux qui couvrent la plus grande part de la production française métropolitaine (66 départements dans la version actuelle). L'étude qui va être menée pour l'amélioration de l'échantillon de l'enquête est susceptible de revoir la liste des départements enquêtés pour chaque culture.",NA,"Annuelle","13000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2015-07-29","2015-01-01","2019-12-31","Agriculture","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2015_ssp_terres-labourables-1-1.pdf","2014-11-19","2015-01-01","2020-12-31","entreprises-et-strategies-de-marche"
"112","2017-10-02","Terres labourables (Enquête) (2018A066AG)",2018,"Enquête ""terres labourables"" ","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2018A066AG","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Partiellement défini par un règlement européen","Entreprise","Répétitive","Le champ géographique est limité aux départements de grandes cultures (66 départements dans la version actuelle)",NA,"Annuelle","13000","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)","2015-07-29","2015-01-01","2020-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2015_ssp_terres-labourables-1-1.pdf","2014-11-19","2015-01-01","2019-12-31","entreprises-et-strategies-de-marche"
"113","2015-06-16","Salariés de l'État - Enquête complémentaire Ecmoss (Enquête auprès des) (2015X095EC)",2015,"Enquête 2015 auprès des salariés de l'État en 2014 - Enquête complémentaire Ecmoss, cycle quadriennal 2014-2017","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015X095EC","Rééditée avec une périodicité supérieure à 1 an","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Partiellement défini par un règlement européen",NA,"Répétitive","L'enquête couvre, comme l'enquête principale Ecmoss, la France métropolitaine et les départements d'Outre-mer (hors Mayotte).",NA,"Ponctuelle ou pluri-annuelle","33000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2015-04-10","2015-04-10","2015-12-31",NA,"https://www.cnis.fr/wp-content/uploads/2017/11/AC_2015_insee_salaries_etat.pdf","2013-04-04","2013-04-04","2019-12-31","emploi-qualification-et-revenus-du-travail"
"114",NA,"Salariés de l’État en 2018 (FPE 2018) (Enquête 2019 auprès des) - Complémentaire à l’enquête sur le coût de la main-d’œuvre et la structure des salaires (Ecmoss), cycle quadriennal 2018-2021 (2019X081EC)",2019,"Enquête 2019 auprès des salariés de l’État en 2018 (FPE 2018) - Complémentaire à l’enquête sur le coût de la main-d’œuvre et la structure des salaires (Ecmoss), cycle quadriennal 2018-2021","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2019X081EC","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative européenne, dépendante d'un règlement européen (obligatoire)","Servant à répondre à un règlement européen","Individu ou ménage ","Répétitive","Comme les enquêtes Ecmoss du cycle 2018-2021, l’enquête complémentaire auprès des salariés de l’État couvrira la France (hors Mayotte). Les Dom, à l’exception de Mayotte, font partie du champ de l'enquête FPE depuis son édition 2014, l'édition 2010 ne portait que sur la France métropolitaine.",NA,"Ponctuelle ou pluri-annuelle","33000","Institut national de la statistique et des études économiques (Insee)","Institut national de la statistique et des études économiques (Insee)","2019-04-10","2019-01-01","2019-12-31","Ménages","https://www.cnis.fr/wp-content/uploads/2019/05/AC_2019_Dsds_FPE_2018.pdf","2017-05-04","2018-01-01","2021-12-31","emploi-qualification-et-revenus-du-travail"
"115",NA,"Enquête 26 sur les effectifs (agrégés) d’étudiants et leur diplomation auprès d’établissements d’enseignement supérieur (2020A078RE)",2020,"Enquête 26 sur les effectifs (agrégés) d’étudiants et leur diplomation auprès d’établissements d’enseignement supérieur","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2020A078RE","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Établissement ",NA,"France entière","Sans objet","Annuelle","320","SSM Enseignement supérieur et recherche - Sous-direction des systèmes d'information et des études statistiques (Sies)","SSM Enseignement supérieur et recherche - Sous-direction des systèmes d'information et des études statistiques (Sies)","2014-05-21","2020-09-01","2021-07-31","Ménages","https://www.cnis.fr/wp-content/uploads/2020/09/AC_2020_Sies_effectifs-étudiants.pdf","2020-03-12","2020-09-01","2025-07-31","services-publics-et-services-aux-publics"
